u,v,key,osmid,oneway,lanes,ref,highway,length,name,maxspeed,bridge,junction,access,tunnel,width,service,maxspeed_new,speedcolor
688358311,1855922706,0,"[54676314, 686113610]",True,1,,motorway_link,378.936,,,,,,,,,60.0,#472d7b
688358311,688358300,0,"[69727242, 552315194]",True,1,M6,motorway,330.148,,80.0,,,,,,,80.0,#2c728e
762176548,3130926009,0,"[60893706, 60895419]",True,1,"['60838', '60839']",motorway_link,48.821999999999996,,,,,,,,,60.0,#472d7b
762176548,762128296,0,307859916,True,1,,motorway_link,37.092,,,,,,,,,60.0,#472d7b
762176583,762176548,0,60893706,True,1,60838,motorway_link,256.46599999999995,,,,,,,,,60.0,#472d7b
762176583,762186811,0,"[312923498, 551824406]",True,2,M60,motorway,359.543,,130.0,,,,,,,130.0,#fde725
762178386,687536235,0,"[312923522, 312923524, 54616082, 148802324, 312923541, 148802328, 312923546, 312923547, 312923552, 312923559, 312923560, 307859912, 137195106, 312923491, 137195109, 312923495, 312923499, 312923501, 312923507, 312923512]",True,"['2', '1', '3']","['M6', 'M60']",motorway,7489.992999999998,,112.33105308600423,yes,,,,,,112.33105308600423,#6ece58
762179467,762178386,0,60894209,True,1,60842,motorway_link,267.18899999999996,,,,,,,,,60.0,#472d7b
762183766,3130925912,0,60894173,True,1,60841,motorway_link,367.573,,60.00000000000001,,,,,,,60.00000000000001,#472d7b
762183766,762178386,0,"[312923494, 551824407]",True,2,M60,motorway,370.371,,130.0,,,,,,,130.0,#fde725
762186811,687433193,0,"[312923520, 149736975, 149736977, 149736978, 149736979, 312923539, 149736982, 312923550, 312923551, 149736995, 312923556, 149736997, 149737002, 254237885, 254237886, 254237889, 254237892, 149403345, 149403356, 312923490, 312923514, 312923516]",True,"['2', '3']",M60,motorway,18423.62299999998,,127.41876037326392,yes,,,,,,127.41876037326392,#eae51a
833935422,1855922678,0,307858346,False,3,57,primary,32.311,,70.0,,,,,,,70.0,#3b528b
833935422,1855922722,0,54676313,True,1,,motorway_link,38.3,,,,,,,,,60.0,#472d7b
833935422,833935435,0,"[307858344, 116523882, 116523878]",False,"['4', '3']",57,primary,193.799,,70.0,yes,,,,,,70.0,#3b528b
833935428,8274302932,0,226412947,False,4,57,primary,42.297,,89.99999999999999,,,,,,,89.99999999999999,#21908d
833935428,25547601,0,"[117227488, 354063681, 354063684, 354063685, 354063687, 354063688, 354063690, 354063691, 307858347, 117227466, 354063695, 686113616, 354063697, 354063698, 354063699, 117227478, 117227479, 354063702]",False,"['5', '2', '4', '3']",57,primary,4999.968,,89.99999999999999,yes,,,,,,89.99999999999999,#21908d
833935435,8274302933,0,307858345,False,4,57,primary,53.675,,70.0,,,,,,,70.0,#3b528b
